id 	 label 	 desc 	 aliases 	 type 	 cluster_labels
P1531	parents of hybrids	null		wikibase-item	Parent
P1652	referee	referee or umpire of a match	umpire	wikibase-item	Other Topics
P1773	attributed to	uncertain but likely creator of an artwork		wikibase-item	Other Topics
P1532	country for sport	country a person represents when playing a sport	sports nationality	wikibase-item	Represents
P459	determination method	qualifier stating how a value has been determined	determined by, method, methodology	wikibase-item	Method
P1411	nominated for	award nomination received by a person, organisation or creative work (inspired from "award received" (Property:P166))	nominee for, nomination received	wikibase-item	Other Topics
P1774	workshop of	artist whose work group are the likely creator of an artwork		wikibase-item	Other Topics
P461	opposite of	item that is the opposite of this item	antonym	wikibase-item	Other Topics
P460	said to be the same as	this item is said to be the same as that item, but the statement is disputed	same as	wikibase-item	Other Topics
P126	maintained by	organization in charge of keeping the subject (for instance an infrastructure) in functioning order	maintenance, curator, administered by	wikibase-item	Other Topics
P489	currency symbol description	item with description of currency symbol		wikibase-item	Other Topics
P488	chairperson	presiding member of an organization, group or body	chairman, chairwoman, president, leader	wikibase-item	Member
P128	regulates (molecular biology)	process regulated by a protein in molecular biology		wikibase-item	Other Topics
P248	stated in	to be used in the source field, to indicate where a claim is made	source	wikibase-item	Source, Field
P127	owned by	owner of the subject	is owned by, owner, belongs to	wikibase-item	Other Topics
P364	original language of work	language in which a work was originally created	language, original language, language of the original work	wikibase-item	Language, Origin
P122	basic form of government	the subject's government	type of government, form of government, government	wikibase-item	Other Topics
P485	archives at	the institution holding the subject's archives		wikibase-item	Other Topics
P1408	licensed to broadcast to	place that a radio/TV station is licensed/required to broadcast to	city of license, community of license	wikibase-item	Place, City, Station
P121	equipment operated	equipment currently or formerly used by subject	fleet, acop, aircraft in fleet, aircraft operated, inventory	wikibase-item	Aircraft
P366	use	main use of the subject (includes current and former usage)	function, role, mission, purpose	wikibase-item	Other Topics
P123	publisher	organization responsible for publishing books, periodicals or software	book publisher, video game publisher, software publisher, publishing house	wikibase-item	Published
P1406	script directionality	direction that a writing system goes in		wikibase-item	Other Topics
P1403	original combination	for animals: the combination (binomen or trinomen) where the species-group name used in this taxon name was first published		wikibase-item	Origin, Taxon, Published, Animal, Combination
P129	physically interacts with	physical entity that the subject interacts with		wikibase-item	Other Topics
P1640	curator	content specialist responsible for this collection	has curator, keeper	wikibase-item	Other Topics
P371	presenter	someone who takes a main role in presenting a radio or television program	host	wikibase-item	Other Topics
P131	located in the administrative territorial entity	the item is located on the territory of the following administrative entity	located in the administrative unit, located in administrative unit, is in administrative unit, is located in, is in the state of, is in the province of, is in the county of, is in the district of, is in the department of, is in the region of, is in the borough of, is in the city of, is in the town of, is in the village of, is in the municipality of, is in the territory of, is in the prefecture of, is in the voivodeship of, is in the Indian reservation of, is in the Indian reserve of, is in the ward of, is in the administrative region of, is in the settlement of, is in the local government area of, is in the rural city of, is in the shire of, happens in, is in the commune of, in administrative unit, in, is in the administrative unit, administrative territorial entity, city, town, state, Indian reservation, in the administrative unit, locality	wikibase-item	Location, Administrative, City, Unit, Territory
P115	home venue	home stadium or venue of a sports team or applicable performing arts organization	ground, home field, arena, home ground, stadium, ballpark, home water	wikibase-item	Team, Field
P598	commander of	for persons who are notable as commanding officers, the units they commanded	commands	wikibase-item	Office, Unit
P114	airline alliance	the alliance the airline belongs to		wikibase-item	Other Topics
P479	input device	input method or device used to interact with a software product	input method, input, mouse, digitiser	wikibase-item	Method
P237	coat of arms	subject's coat of arms		wikibase-item	Other Topics
P358	discography	link to discography in artist or band page	discography link	wikibase-item	Other Topics
P111	measured physical quantity	physical property measured by a unit		wikibase-item	Unit
P110	illustrator	illustrator of a book		wikibase-item	Other Topics
P1639	pendant of	other work in a pair of opposing artworks, such as wedding portraits, commissioned together, but not always	pendant to	wikibase-item	Other Topics
P355	subsidiaries	subsidiary of a company or organization, opposite of parent company (P749)	subsidiary company, Parent company of, subsidiary entities	wikibase-item	Parent, Company
P113	airline hub	airport that serves as a hub for an airline	hub	wikibase-item	Other Topics
P112	founder	founder or co-founder of the organization, religion or place	founded by, is founded by	wikibase-item	Place
P1637	undercarriage	type of aircraft landing gear the item is equipped with	landing gear, aircraft landing gear, aircraft undercarriage	wikibase-item	Aircraft
P1753	list related to category	Wikimedia list equivalent to a Wikimedia category		wikibase-item	Category
P1754	category related to list	Wikimedia category equivalent to a Wikimedia list		wikibase-item	Category
P119	location of burial	location of grave, resting place, place of ash-scattering, etc, (e.g. city or cemetery) for a person. There may be several places: e.g. re-burials, cenotaphs, parts of body buried separately.	burial place, resting place, place of grave, buried in, grave at, place of burial	wikibase-item	Location, Place, City
P118	league	league in which the team plays or has played in	division	wikibase-item	Team
P1750	name day	day of the year associated with a first/given name. A qualifier should be used to identify the calendar that is being used. Distinguish from "feast day" (P:P841)		wikibase-item	Other Topics
P360	is a list of	this is a list of the following items	main topic of list, list of, main article of list	wikibase-item	Topic
P483	recorded at	studio where a musical composition was recorded	studio, recording studio, recording venue	wikibase-item	Music, Record
P241	military branch	the branch to which this military unit, award, or person belongs, e.g. Royal Navy	branch, formation, service branch	wikibase-item	Unit
P361	part of	subject is a part of that object	meronym of, section of, system of, subsystem of, subassembly of, merged into, contained within, assembly of, within a set	wikibase-item	Set
