propId , label , description , aliases ,  type , count
P1145,Lagrangian point,libration point of an object (default: object-sun-earth),libration point,wikibase-item,25
P115,home venue,home stadium or venue of a sports team or applicable performing arts organization,"ground, home field, arena, home ground, stadium, ballpark, home water",wikibase-item,5407
P1151,topic's main portal,Wikimedia portal associated with this topic,,wikibase-item,902
P1158,location of landing,location where the craft landed,landing site,wikibase-item,14
P1165,home world,home world/planet of a fictional race or character,"homeworld, planet",wikibase-item,23
P1170,transmitted signal,type of signal transmitted by a device,"transmits, signal transmitted",wikibase-item,1
P1171,approximation algorithm,method used to approximate a number,,wikibase-item,1
P118,league,league in which the team plays or has played in,division,wikibase-item,11335
P119,location of burial,"location of grave, resting place, place of ash-scattering, etc, (e.g. city or cemetery) for a person. There may be several places: e.g. re-burials, cenotaphs, parts of body buried separately.","burial place, resting place, place of grave, buried in, grave at, place of burial",wikibase-item,34583
P1192,connecting service,service stopping at a station,,wikibase-item,969
P1194,received signal,signals detected by a machine,,wikibase-item,1
P1196,manner of death,"circumstances of a person's death; one of: natural causes, accident, suicide, homicide, pending investigation or special 'unknown value'.  Use 'cause of death' (P509) for more immediate or underlying causes and events, e.g. heart attack, car accident","circumstance of death, type of death",wikibase-item,3873
P1199,mode of inheritance,the manner in which a particular genetic trait or disorder is passed from one generation to the next,,wikibase-item,4
P1200,bodies of water basin category,the category associated with the basin of a bodies of water,,wikibase-item,1980
P1201,space tug,"spacecraft vehicle designed to move the payload from a reference orbit to the target orbit, or direct it to an interplanetary trajectory","payload deliverer, upper stage",wikibase-item,365
P1202,carries scientific instrument,"scientific instruments carried by a vessel, satellite, or device that are not required for propelling or navigating","scientific equipment, metering equipment",wikibase-item,15
P1204,portal's main topic,primary topic of this portal,,wikibase-item,986
P121,equipment operated,equipment currently or formerly used by subject,"fleet, acop, aircraft in fleet, aircraft operated, inventory",wikibase-item,3274
P1210,supercharger,supercharger or turbocharger used by an engine,,wikibase-item,1
P1211,fuel system,fuel system that an engine uses,,wikibase-item,2
P122,basic form of government,the subject's government,"type of government, form of government, government",wikibase-item,628
P1221,compressor type,,,wikibase-item,2
P123,publisher,"organization responsible for publishing books, periodicals or software","book publisher, video game publisher, software publisher, publishing house",wikibase-item,41005
P126,maintained by,organization in charge of keeping the subject (for instance an infrastructure) in functioning order,"maintenance, curator, administered by",wikibase-item,13264
P1264,valid in period,time period when a statement is valid,"applies to period, time period",wikibase-item,17
P1268,represents organisation,organization that an entity represents,,wikibase-item,8
P1269,facet of,the main aspect of this topic,"aspect of, subitem of, topic of, subtopic of",wikibase-item,9919
P127,owned by,owner of the subject,"is owned by, owner, belongs to",wikibase-item,26689
P128,regulates (molecular biology),process regulated by a protein in molecular biology,,wikibase-item,1
P1283,filmography,list of films a person has contributed to,,wikibase-item,128
P129,physically interacts with,physical entity that the subject interacts with,,wikibase-item,13
P1290,godparent,person who is the godparent of a given person,"godfather, godmother",wikibase-item,22
P1299,depicted by,object depicting this subject,,wikibase-item,48
P1302,primary destinations,major cities that a road serves,,wikibase-item,68
P1303,instrument,instrument that a person plays,plays,wikibase-item,25238
P1304,central bank,country's central bank,,wikibase-item,7
P1308,officeholder,person who holds an office,incumbent,wikibase-item,136
P131,located in the administrative territorial entity,the item is located on the territory of the following administrative entity,"located in the administrative unit, located in administrative unit, is in administrative unit, is located in, is in the state of, is in the province of, is in the county of, is in the district of, is in the department of, is in the region of, is in the borough of, is in the city of, is in the town of, is in the village of, is in the municipality of, is in the territory of, is in the prefecture of, is in the voivodeship of, is in the Indian reservation of, is in the Indian reserve of, is in the ward of, is in the administrative region of, is in the settlement of, is in the local government area of, is in the rural city of, is in the shire of, happens in, is in the commune of, in administrative unit, in, is in the administrative unit, administrative territorial entity, city, town, state, Indian reservation, in the administrative unit, locality",wikibase-item,2369539
P1312,has facet polytope,"facet of a polytope, in the next-lower dimension",facet of a polytope,wikibase-item,928
P1313,office held by head of government,political office that is fulfilled by the head of the government of this item,"office of head of government, position of head of government",wikibase-item,2162
P1318,proved by,person who proved something,,wikibase-item,20
P1321,place of origin (Switzerland),lieu d'origine of a Swiss national. Not be confused with place of birth or place of residence,"lieu d'origine, Heimatort, Bürgerort, luogo d'origine",wikibase-item,1687
P1322,dual to,"dual of a polytope, graph or curve",,wikibase-item,273
P1327,professional or sports partner,person a professional or athlete works with,,wikibase-item,5
P1336,territory claimed by,administrative divisions that claim control of a given area,,wikibase-item,40
P134,has dialect,dialects of this language (a single language may be linked to many dialects),"dialect, has as dialect, includes dialect",wikibase-item,217
P1340,eye color,color of the irises of a person's eyes,eye colour,wikibase-item,783
P1343,described by source,dictionary or encyclopaedia where this item is described,,wikibase-item,33109
P1344,participant of,"event a person was a participant in, inverse of P710","took part, took part in, participant in",wikibase-item,145683
P1346,winner,winner of an event,won by,wikibase-item,1047
P1347,military casualty classification,,,wikibase-item,8
P1349,ploidy,ploidy of a genome,,wikibase-item,2
P135,movement,"literary, artistic or philosophical movement associated with this person or work","school, architectural style",wikibase-item,9713
P136,genre,genre of a creative work or genre in which an artist works,"music genre, film genre",wikibase-item,251784
P1363,points/goal scored by,person who scored a point or goal in a game,,wikibase-item,75
P1365,replaces,"Person, state or other item who was replaced in an office, position, etc.. Use P167 (structure replaced by) for structures. Use P155 (follows) if the previous item was not replaced and predecessor and successor are identical.","forefather, previous job holder, replaced, preceded by, succeeds, after, predecessor",wikibase-item,636
P1366,succeeded by,"Person or state or item who replaces another in an office, position, etc. Use P156 (followed by) if the item is not replaced, e.g. books in a series","heir, next job holder, successor, after, replaced by",wikibase-item,930
P137,operator,"organization that operates the service, facility, ship, aircraft, missile","service operator, facility operator, operated by, managed by, user, administrator",wikibase-item,36949
P1372,binding of software library,software library in another programming language provided by the subject software binding,,wikibase-item,4
P1376,capital of,"country, state, department, canton or other administrative division of which the municipality is the governmental seat","county seat of, county seat for",wikibase-item,187
P138,named after,"entity or event that inspired the subject's name, or namesake (in at least one language)","eponym, named for, namesake, etymology",wikibase-item,38419
P1382,coincident with,"an object that is partially part of, but not fully part of (P361), the subject","partially overlaps, partial concurrency, concurrent with, partially in, concurrency",wikibase-item,572
P1383,contains settlement,settlement which an administrative division contains,,wikibase-item,19189
P1387,political alignment,political position within the political spectrum,political position,wikibase-item,48
P1389,product certification,"certification for a product, qualify with P1001 (""applies to jurisdiction"") if needed",,wikibase-item,2536
P1393,proxy,person authorized to act for another,,wikibase-item,10
P1398,replaced by structure,building/structure which replaced the subject building or structure at the same location,replacement building,wikibase-item,11
P1399,convicted of,crime a person was convicted of,,wikibase-item,2440
P140,religion,religion of a person or organization (MUST be claimed by the subject or documented by historical sources),"faith, religious affiliation, denomination, life stance",wikibase-item,28815
