propId , label , description , aliases ,  type , count
P58,screenwriter,author(s) of the screenplay or script for this work,"scriptwriter, screenplay by, writer, teleplay by",wikibase-item,50160
P588,coolant,substance used by the subject to dissipate excess thermal energy,,wikibase-item,264
P589,point group,crystal subdivision,,wikibase-item,247
P59,constellation,"the area of the celestial sphere of which the subject is a part (from a scientific standpoint, not an astrological one)",,wikibase-item,19949
P598,commander of,"for persons who are notable as commanding officers, the units they commanded",commands,wikibase-item,162
P6,head of government,"head of the executive power of a town, city, municipality, state, country, or other governmental body","mayor, prime minister, premier, first minister, head of national government",wikibase-item,11720
P607,conflict,"battles, wars or engagements in which the person or item participated","war, battle",wikibase-item,50762
P608,exhibition history,exhibitions where the item was displayed,,wikibase-item,1105
P609,terminus location,location of the terminus of a linear feature,"destination, departure point",wikibase-item,792
P61,discoverer or inventor,discovered or invented by,"inventor, discovered by, invented by, discoverer",wikibase-item,59847
P610,highest point,"point with highest elevation in the country, region, city, town or area",highest peak,wikibase-item,330
P611,religious order,order of monks or nuns which the monastery housed,,wikibase-item,2213
P612,mother house,name of the mother house,,wikibase-item,231
P618,source of energy,describes the source of energy an animated object (machine or animal) uses,"fuel type, energy source",wikibase-item,170
P624,guidance system,guidance system of a missile,,wikibase-item,178
P629,edition or translation of,is an edition or translation of this text,"edition of, translation of",wikibase-item,988
P631,structural engineer,"person, group or organisation responsible for the structural engineering of a building or structure",,wikibase-item,258
P634,captain,captain of this sports team,,wikibase-item,18
P636,route of administration,"path by which a drug, fluid, poison, or other substance is taken into the body",,wikibase-item,221
P641,sport,sport or discipline in which the entity participates or belongs to,,wikibase-item,177938
P642,of,qualifiers stating that a statement applies within the scope of a particular item,scope,wikibase-item,34
P647,drafted by,which team the player was drafted by,,wikibase-item,62
P65,site of astronomical discovery,"the place where an astronomical object was discovered (observatory, satellite)",,wikibase-item,45812
P655,translator,people or organisation who translated this,,wikibase-item,420
P658,tracklist,songs contained in this item,,wikibase-item,927
P66,ancestral home,place of origin for ancestors of subject,,wikibase-item,131
P660,EC classification,the Enzyme Commission (EC)-based accepted name of any enzyme classifications of the protein or RNA molecule,Enzyme Commission classification name,wikibase-item,2
P664,organizer,person or institution organizing an event,,wikibase-item,650
P669,located on street,"street, or road, where the item is located. To add the number, use Property:P670 ""street number"" as qualifier","is on, street",wikibase-item,44205
P674,characters,"characters which appear in this item (plays, operas, operettas, books...)",,wikibase-item,3643
P676,lyrics by,author of song lyrics; also use P86 for music composer,"lyricist, lyracist, words by, writer",wikibase-item,5271
P680,molecular function,represents gene ontology function annotations,,wikibase-item,11200
P681,cell component,component of the cell in which this item is present,,wikibase-item,10602
P682,biological process,is involved in the biological process,,wikibase-item,32246
P684,ortholog,orthologous gene in another species (use with 'species' qualifier),,wikibase-item,1860
P688,encodes,the product of a gene (protein or RNA),codes for,wikibase-item,1915
P689,afflicts,a type of organism which a condition or disease afflicts,,wikibase-item,24
P69,educated at,educational institution attended by the subject,"education, alumni of, alumnus of, alumna of, college attended, university attended, school attended, studied at, alma mater, graduate of",wikibase-item,281109
P690,space group,symmetry classification for 2 and 3 dimensional patterns or crystals,,wikibase-item,919
P693,cleavage,way that crystals or minerals cleave,,wikibase-item,60
P694,replaced synonym (for nom. nov.),"previously published name on which a replacement name (avowed substitute, nomen novum) is based.",,wikibase-item,33
P7,brother,subject has the object as their brother,"has brother, sibling, bro",wikibase-item,64381
P702,encoded by, the gene that encodes some gene product,,wikibase-item,1955
