Reference Item 	 Label 
Q15950282	null	1
Q15951247	null	1
Q15951700	null	1
Q15951714	null	1
Q15951741	null	1
Q15953305	null	1
Q15953310	null	1
Q15953897	null	1
Q15955738	null	1
Q15956200	Jin Su	1
Q15958341	Patrick Fillioud	1
Q159606	John Everett Millais	2
Q15961751	James August Atkinson	1
Q15961920	Vom Amt zur Stadt	2
Q15962295	null	1
Q15963166	Treaty on the Adoption of the Republic of Crimea to Russia	18
Q15963926	Bulletin de l'Alliance nationale pour l'accroissement de la population française	1
Q15963981	Lyon médical	1
Q15964313	L'Homme enchaïné	6
Q15964353	Marguerite Javal	1
Q159664	The American Conservative	1
Q15966594	Foreign Affairs, Foreign Trade and Development Coorpertion	1
Q159666	Hector	1
Q15966611	Government of the Netherlands	2
Q15966757	Nuevo Mundo	10
Q15967263	Statistical Office of Republic Of Serbia	2
Q15967395	null	1
Q15969610	Jules Ouvrard	1
Q15970999	Jean Schneider	1
Q15971406	IMA Commission on new minerals, nomenclature and classification (CNMNC) Newsletter 15: New minerals and nomenclature modifications approved in 2012 and 2013	7
Q15971582	Hedwig Cecile Albertine van Osselen	2
Q15972068	Ministry of Foreign Affairs (Poland)	1
Q15972135	Ministry of Foreign Affairs of the Czech Republic	2
Q15972356	David Russell	1
Q15972925	Georges Seurat 1859-1891, 1st English-language edition	1
Q15973289	Ariel Beresniak	1
Q1597331	Ines Jucker	1
Q15974420	Ministry of Foreign Affairs of Denmark	2
Q15974684	Ministry of Foreign Affairs of Norway	2
Q15975503	Samuel Adams Drake	1
Q15975707	Ministry for Foreign Affairs of Finland	2
Q15975711	null	1
Q15975890	Slovenska biografija	2
Q15976242	Norman Moore	1
Q15977393	Announcement of the Ministry of Interior on the creation of subdistrict administrative organizations 1996	5
Q15977684	Ministry of Foreign Affairs of Slovenia	2
Q15977731	Ministry of Foreign Affairs and European Affairs of Slovakia	1
Q15978219	Distant Vocals	1
Q15978646	The IMA List of Minerals (March 2014)	116
Q15978652	Ministry of Foreign Affairs of Hungary	2
Q15978676	Ministry of Foreign and European Affairs of Croatia	2
Q15978765	Georges Eeman-Bey	2
Q15979641	Medien- und Kommunikationspolitik der Bundesrepublik Deutschland	1
Q15979728	Walter Schmidt	1
Q15979731	Glossary of Geology	1
Q15979749	Tschermaks Mineralogische und Petrographische Mitteilungen	1
Q15980597	Ministry of Foreign Affairs of Romania	2
Q15981702	Ministry of Foreign Affairs of the Republic of Bulgaria	2
Q15981946	Entomologische Arbeiten aus dem Museum G. Frey	1
Q15982015	Matthys Cock	1
Q15982051	Jeremias van Winghe	1
Q15982167	Malik Obama	1
Q15982189	Mark Okoth Obama Ndesandjo	1
Q15982309	David Ndesandjo	1
Q15982321	Abo Obama	1
Q15982322	Bernard Obama	1
Q15982787	null	1
Q15982789	null	1
Q15982791	null	1
Q15983202	DD index	1
Q15983772	Ministry for Foreign Affairs of Iceland	2
Q15983817	Frederick Wells Williams	1
Q15983869	Henrietta Anne Duff	1
Q15984004	Gerald le Grys Norgate	5
Q15984355	Paulo Ruiz Picasso	1
Q15984930	Dar'ja Aleksandrovna Košeleva	1
Q15985343	Mary Anne Martha Hoppus	1
Q15985561	Hobart, James	4
Q15985635	Haydn, Joseph	3
Q15985653	Hearn, William Edward	7
Q15985701	St. Leger Algernon Herbert	8
Q15986345	Leger Algernon Herbert	1
Q15987045	Ministry of Foreign Affairs of the Republic of Azerbaijan	3
Q15987167	Death: James Williams	1
Q15987216	Dictionary of National Biography (1885-1900)	7
Q15987551	Sketch of Professor B. A. Gould	2
Q15989196	On the metamorphism produced by the combustion of hydrocarbons in the Tertiary sediments of south-west Persia	1
Q15989258	On the crystal structure of pseudowollastonite (CaSiO₃)	2
Q15989664	Petenaeaceae, a new angiosperm family in Huerteales with a distant relationship to Gerrardina (Gerrardinaceae)	2
Q15989678	The worldwide holoparasitic Apodanthaceae confidently placed in the Cucurbitales by nuclear and mitochondrial gene trees	1
Q15989681	Ministry of Foreign Affairs of the Kingdom of Jordan	2
Q15990467	null	2
Q15991146	Margaret Jewett Smith Bailey	1
Q15991173	Max Eigenmann	2
Q15991290	Professional sport league	1
Q15992507	null	1
Q159934	Murad III	1
Q15994191	null	1
Q15996294	Hippolyte Camille Lamy	1
Q15997436	New mineral names	2
Q15997554	Sisowath Youtevong	2
Q16	Canada	3
Q160027	Son Sann	2
Q1600270	Johannette Antoinette Juliane of Saxe-Eisenach	1
Q16003189	Ministry of Foreign Affairs of the United Arab Emirates	2
Q16003969	Royal College of Physicians	2
Q16005828	null	1
Q16007071	Konrad von dem Eichhorn	1
Q16007927	Phosphohedyphane, Ca₂Pb₃(PO₄)₃Cl, the phosphate analog of hedyphane: Description and crystal structure	5
Q16009531	The Indian Biographical Dictionary 1915	3
Q16010345	performer	1
Q1601129	Heinz Wemper	1
Q16011488	Charles Marcotte d'Argenteuil	1
Q160116	Alexander III	1
Q16011749	A Dictionary of Music and Musicians	1
Q16011754	Le Vétéran	1
Q16012468	Ellis Marcus	1
Q1601295	Heise online	2
Q1601296	Leopold Durm	1
Q16014294	Mary Sophia Bentham	1
Q16014697	Dictionary of National Biography, second supplement	2
Q16015286	James Melvin Scott	1
Q16017106	Calendar of the Grants of Probate and Letters of Administration made in the Probate Registries of the High Court of Justice in England	5
Q16018176	Mable Pinnie Mpa	1
Q16019319	null	1
Q1601945	Helene Bresslau	2
Q16022149	Léon Paixhans	1
Q16023188	Josephine Leavell Allensworth	1
Q16025327	Xocolatlite, Ca₂Mn₂⁴⁺Te₂⁶⁺O₁₂·H₂O, a new tellurate related to kuranakhite: Description and measurement of Te oxidation state by XANES spectroscopy	5
Q16025418	null	1
Q16026225	Alice Littlefield	1
Q16027633	Ministry of Foreign Affairs of the Republic of India	2
Q16028148	Octave de Traynel	2
Q160318	Norodom Sihanouk	18
Q16034300	Jeanne de Savoie	3
Q16034557	Allanpringite, Fe₃(PO₄)₂(OH)₄·5H₂O, a new ferric iron phosphate from Germany, and its close relation to wavellite	5
Q160349	Charles VI of France	1
Q16042075	Reconfirming the hybrid origin and generic status of the Iberian cyprinid complex Squalius alburnoides	2
Q160432	Jude Law	1
Q16043640	Caroline Still Anderson	1
Q1604432	Igelsbach	1
Q16059740	Walter Anderson	1
Q16061818	null	1
Q16061909	null	1
Q16062022	null	1
Q16062036	null	1
Q1606248	Henrik Enderlein	1
Q16062545	Alice Havers	1
Q16062780	Margaret Gillies	1
Q16062787	Anne Hope	1
Q16062881	John Pearson	1
Q16062915	Johan Koren Christie	1
Q16062947	Anna Letitia Le Breton	1
Q16062963	Robert Smith	1
Q16063079	Margaret Agnes Bunn	1
Q16063126	Lucy Crane	1
Q16064249	Ernst Haase	1
Q16066178	Maria Rebecca Davison	1
Q16066205	Bernardo Yorba	1
Q16066399	Harriet Waylett	1
Q16069785	Marina Adriana Maria van Toulon	1
Q16070071	Jada Borsato	1
Q16071066	Ministry of Foreign Affairs of Mongolia	4
Q16075275	null	1
Q16075277	null	1
Q16075286	null	1
Q16075288	null	1
Q16075338	null	1
Q16075345	null	1
Q16075410	Zhao Si	1
Q16075425	null	1
Q16075445	null	1
Q16077821	Zhao Zhu	1
Q16078463	null	1
Q16078641	null	1
Q16078844	null	1
Q16092059	William V.S. Tubman, Jr.	1
Q16095476	George Christie	2
Q16103879	Nosekeni Fanny	1
Q16103937	Zenani Mandela-Dlamini	1
Q1610507	Hermann Adler	1
Q16107109	Mickey Rooney, Jr.	1
Q16123154	Helgi Þorbrandsson	1
Q16125387	null	1
Q16132624	Srugim	1
Q161328	Franz Benda	1
Q16138215	null	2
Q161389	Vajiravudh	1
Q161423	die Tageszeitung	12
Q16146137	William Howard, Viscount Andover	1
Q16151052	Alice Owen	1
Q16152631	Edward Devereux, 12th Viscount Hereford	1
Q16157607	Ima Shalom	1
Q161582	andromeda	2
Q1615871	Hessian Bibliography	2
Q16161589	null	3
Q16165695	Vojtech Cepl	1
Q1617	Urdu	1
Q161718	United Nations Development Programme	4
Q161806	Académie française	1
Q16185701	Janetta Hughan Manners	1
Q16185914	Geneviève-Adélaïde Helvétius	2
Q16186390	Colleen Murphy	1
Q16186506	Aryeh Lev Stollman	1
Q16194265	Henry Panckoucke	1
Q161955	André Breton	2
Q16196360	Long Walk to Freedom	8
Q16201610	Carol Bishop-Gwyn	1
Q16203894	Mary Anne Jevons	1
Q16206573	Pauline de Galard de Brassac de Béarn	1
Q16210361	Caroline Lucy Scott	1
Q1621261	Venom	1
Q16216491	Charles Blackstone	1
Q16218588	Katie Kitamura	1
Q16219326	Joséphine Marchand	1
Q162222	Deutsche Bundesbank	1
Q16222552	Yugo Yoshida	1
Q16226469	Carole Hyatt	1
Q16227492	Maria Gibbs	1
Q16232429	Arvind Kumar Singh	1
Q16235203	null	1
Q16243807	Julie Bruck	1
Q162478	Köchel catalogue	11
Q16251287	James Gilligan	1
Q1625479	Johann Adolf Repsold	1
Q16259771	Magnesioneptunite, KNa₂Li(Mg,Fe)₂Ti₂Si₈O₂₄, a new mineral species of the neptunite group	3
Q16259837	Zhao Yan	1
Q16260705	Lian Yongxin	1
Q16266	Bundang Line	57
Q16266765	null	2
Q16267658	Rakovanite, Na₃{H₃[V₁₀O₂₈]}·15H₂O, a new member of the pascoite family with a protonated decavanadate polyanion	4
Q16268000	Marie du Goût de Cazaux	1
Q16268004	Georges Martin du Nord	1
Q16268950	Philip Chajzer	1
Q16271138	Magnesiopascoite, a new member of the pascoite group: description and crystal structure	12
Q16271442	International Mineralogical Association: Commission on New Minerals and Mineral Names (1962)	138
Q1628974	The New Cities	1
Q16295713	Þórhallur Ásgrímsson	1
Q163	Yorkshire	1
Q163080	Kalākaua	1
Q16311	James T. Kirk	1
Q1631728	Howard Atwood Kelly	6
Q16321327	Indigo Film	1
Q16323112	Constitution of the Republic of Crimea	1
Q16323277	Casey Sheehan	1
Q16325283	Analyzing French Mathematical Research During the Interwar Period Through Theses	1
Q16326795	Zincolivenite CuZn(AsO₄)(OH): a new adamite-group mineral with ordered distribution of Cu and Zn	4
Q16326808	Encyclopedia of mineral names: first update	1
Q16328415	Vasilios Roufos	1
Q16329915	null	1
Q16330	А	1
Q16330668	null	1
Q16330831	Anastasios Mavromichalis	1
Q16331432	null	5
Q16332479	null	1
Q16333730	null	3
Q16334351	Domenico Saccardo	1
Q16334561	Global Butterfly Information System	4
Q16335729	Caravaggio Studies (1974 edition)	7
Q16335767	Pedro Rodríguez de Guzmán	1
Q16335771	BFI 2012 journal list	27482
Q16335772	Álvaro Rodríguez de Guzmán	1
Q16335779	Urraca Rodríguez de Guzmán	1
Q16335830	Le vite de' pittori, scultori et architetti moderni	15
Q16336176	Huang Yusheng	1
Q16336987	Bruno Fagundes	2
Q16338058	Kangite, (Sc,Ti,Al,Zr,Mg,Ca,☐)₂O₃, a new ultra-refractory scandia mineral from the Allende meteorite: Synchrotron micro-Laue diffraction and electron backscatter diffraction	5
Q1633808	Antarctic Treaty Secretariat	1
Q1634035	Jerusalem Law	1
Q16345046	Mariinskite, ВеСr₂O₄, a new mineral, chromium analogue of chrysoberyl	2
Q16347124	Specific features of cation distribution in the crystal structure of mariinskite ВеСr₂O₄ (Derivative of olivine-type structure)	1
Q1635147	Hugo Henkel	1
Q16354776	null	1
Q16354844	May Bardoux	2
Q16354862	Jacques de Gaulle	1
Q163560	Axel Springer AG	2
Q16363580	IMA Commission on new minerals, nomenclature and classification (CNMNC) Newsletter 16: New minerals and nomenclature modifications approved in 2013	7
Q16363975	Occurrence and crystal chemical features of protoferro-anthophyllite and protomangano-ferro-anthophyllite from Cheyenne Canyon and Cheyenne Mountain, U.S.A. and Hirukawa-mura, Suisho-yama, and Yokone-yama, Japan	9
Q1636785	Institut d'Estadística de Catalunya	6
Q163727	bachelor's degree	1
Q1638536	Lampetia	2
Q16389	Charles K. Kao	1
Q16389857	Elizaveta Andreevna Šuvalova	2
Q1639174	Reformatorisch Dagblad	2
Q163945	Yahya Muhammad Hamid ed-Din	1
Q16395222	The Secret Journal of Zhao Ziyang	6
Q16395252	Bo Pu	1
Q1639574	Phoebe Halliwell	1
Q1640011	Aang	1
Q16402061	Egypt State Information Service	2
Q164210	Prisca	1
Q1642480	Islamic view of Isaac	2
Q164294	Saint Anna	1
Q1643060	Claude Catherine de Clermont	1
Q164373	Thaksin Shinawatra	2
Q16442760	Adomas Pliateris	1
Q1644501	Reptile Database	1
Q16448991	Ministry of Foreign Affairs and International koorperation of the State of Libya	3
Q1645179	Vera Caspary	1
Q1645493	Lives of the Most Excellent Painters, Sculptors, and Architects	3
Q16460065	Steve Jobs (1st ed.)	2
Q1646066	Chan Sy	2
Q16473515	Josyp Terelya, witness to apparitions and persecution in the USSR : an autobiography	5
Q164746	The Wall Street Journal	1
Q16476191	Vilhelmas Vaičekauskas	1
Q16478232	null	2
Q1648786	Waray Wikipedia	33022
Q1649622	House of Representatives	1
Q16500854	Charles Gill	1
Q16500870	Michael Gates Gill	1
Q16501095	Giorgio Agnelli	1
Q16501177	Clara Agnelli	2
Q16504352	null	2
Q16504359	null	2
Q16504363	null	2
Q16504364	Georgios Pangalos	2
Q16504442	Katingo Hatzimeletis	1
Q16504489	Meletis Hatzimeletis	1
Q16505205	Abraham Nilsson Brahe	1
Q16508616	Georges Menier	1
Q16509375	Madeleine Laffont	1
Q16509734	Phabricator	1
Q16509997	Marguerite Cottin	1
Q16510784	Georgios Pangalos	1
Q16510825	null	1
Q165114	Marek Benda	1
Q16515025	Swedish Wikisource	12
Q16515437	null	1
Q165170	Europa	2
Q16522090	null	4
Q16524088	null	1
Q1652830	Japanese submarine I-58	1
Q16529883	Augusto Armellini	1
Q165307	USS Colhoun	1
Q16539709	null	1
Q165400	SourceForge	5
Q16547577	null	27
Q16547613	null	1
Q16548472	null	2
Q16548511	null	2
Q1655027	null	1
Q16554	Denver	1
Q1655513	Ian Frazier	1
Q16557716	null	1
Q16559	Austin	1
Q16559355	Iasius	1
Q16566800	Felipe López Caballero	1
Q1657282	Giant Bomb	9
Q16577410	Embassy of the Republic of Mali in Germany	3
Q1658569	Australian Electoral Commission	32
Q165862	Royal Air Force	12
Q1658754	Syrius Eberle	1
Q165938	Hesperides	8
Q16595197	Anna Hogenskild	1
Q16597007	null	4
Q165987	Mayta Cápac	1
Q166032	The Washington Post	30
Q16603339	null	1
Q16603393	null	1
Q16603394	null	1
Q16603436	null	1
Q16603507	null	1
Q16603514	null	1
Q16603515	null	1
Q16603539	null	1
Q16603542	null	1
Q16603543	null	1
Q16603545	null	1
Q16603556	null	1
Q16603582	null	1
Q16603585	Princess Shuguo	1
Q16603619	null	1
Q16603625	null	1
Q16603633	null	1
Q16603643	null	1
Q16603647	null	1
Q16603655	null	1
Q16603659	null	1
Q16603665	null	1
Q16603689	null	1
Q16603699	null	1
Q16603711	null	1
Q16603723	null	1
Q16603735	null	1
Q16603752	null	1
Q16607763	Ministry of Foreign Affairs of the Bolivarian Republic of Venezuela	3
Q16609445	null	3
Q1661219	India Today	1
Q16613810	The crystal chemistry of the amphiboles: IV. X-ray and neutron refinements of the crystal structure of tremolite	1
Q166180	France 24	1
Q166216	Giada De Laurentiis	1
Q16623406	Embassy of the Republic of Chad in Germany	4
Q1662358	VizieR	18352
Q1663013	USS Coral Sea	1
Q16634751	Yan Jun	1
Q16639460	null	1
Q16640745	null	2
Q1664078	Konrad Henkel	2
Q16643875	Francis Brooks Chadwick	1
Q1664467	Johann Dietrich von Gemmingen	1
Q16650549	Nils Wachtmeister	1
Q16650672	Fritz Otto Östman	1
Q1665219	National Institute of Statistics and Census of Argentina	23
Q1665444	IRIN	3
Q1665560	International Transport Workers' Federation	1
Q16658585	Kaliopi Kountouriotis	1
Q16659268	Who's Who in New England	4
Q16663022	null	1
Q16663903	Maya Simon	1
Q16669761	null	1
Q1667341	International Commission for the Protection of the Rhine	2
Q16676887	null	1
Q16679891	null	1
Q166808	Corfitz Ulfeldt	1
Q1668479	J.P. Bachem Verlag	1
Q16686809	null	1
Q16688269	Le Champ du repos, ou le Cimetière Mont-Louis, dit du Père Delachaise	6
Q1669336	Karoline Franziska Dorothea von Parkstein	1
Q166998	2000 United States Census	3
Q16702830	null	1
Q167073	Eero Saarinen	1
Q167086	Statistics Netherlands	3
Q167170	multi-sport event	1
Q16721192	Public Sculpture of Historic Westminster: Volume 1	7
Q16724427	Thomas Piketty - September 2013 Curriculum vitae	4
Q16725687	Alastair Martin, 94, Court Tennis Star and Modern Tennis Executive, Dies	5
Q16725710	null	1
Q16725722	Das Tierbild in Der Altmesopotamischen Rundplastik	1
Q16725747	Art of the First Cities: The Third Millennium B.C. from the Mediterranean to the Indus - 1st edition	1
Q16725754	Holly Pittman	1
Q16726134	Paul Thorfinnsson	1
Q16726135	Erlend Thorfinnsson	1
Q16726178	null	1
Q16730428	Elise Jordan	1
Q16730741	André-Hippolyte Lemonnier	1
Q16731796	Vivek Maddala	1
Q16733713	Olivia Hetreed	1
Q16735314	IMA Commission on New Minerals, Nomenclature and classification (CNMNC) Newsletter 13: New minerals and nomenclature modifications approved in 2012	1
Q1673545	Isabel Karajan	2
Q16735590	Czech Wikisource	1753
Q16735592	czech Wikiquote	149
Q16735620	Embassy of Eritrea in Germany	2
Q16735801	Histoire et mémoire du nom des rues de Paris - 1st edition	2
Q16735825	De finibus bonorum et malorum (English, 1914)	1
Q16737109	Bosls bayerische Biographie	25
Q16737115	Ministry of Foreign Affairs and International Cooperation of the Federal Republic of Somalia	2
Q16738016	The tremolite-actinolite-ferro–actinolite series: systematic relationships among cell parameters, composition, optical properties, and habit, and evidence of discontinuities	2
Q16738024	perfect	3
Q16738389	Grisel Nevill	1
Q16738541	John Randolph	2
Q16738560	null	1
Q16738577	null	1
Q16738579	null	2
Q16738801	Pierre Lalo	1
Q16738852	null	3
Q16738858	Titian: His Life	2
Q16738880	30 ans au service du patrimoine, de la Carthage des Phéniciens à la Carthage de Bourguiba, 1st edition	1
Q16738896	A Marble Group of Ganymede and the Eagle from the Age of Augustine	1
Q16738899	Musée paléo-chrétien de Carthage. On a volé Ganymède !	1
Q16739020	Ganymede and the Eagle: A Marble Group from Carthage	1
Q16739315	TV Königsberg 1862 e.V.	1
Q16740857	417 Magazine	1
Q16740896	Springfield Business Journal	1
Q16740952	ThoughtWorks	5
Q16740965	Embassy of the Democratic Republic of Congo in Germany	3
Q16741009	null	6
Q16741380	null	1
Q16741381	Loukas Roufos	1
Q1674139	Ming Pao	2
Q16741390	Benizelos Roufos	1
Q16741393	Maria Roufos	1
Q16741404	Ekaterini Roufos	1
Q16742793	Andreas Gerwig	1
Q16743355	Georgios Mexis	1
Q16744133	CONOR	1
Q16744697	Embassy of the Republic of Cameroon in Germany	3
Q16744893	Directory of British Architects, 1834-1914	10
Q16745065	Susan Tifft	1
Q167457	Treaty of Rome	1
Q16746721	Boletín de la Real Academia de Bellas Artes de San Fernando	2
Q16746791	Luz	2
Q16746861	Embassy of the Republic of Niger in Germany	3
Q16747642	Kobylańska Katalog	1
Q16749642	Gary S. Becker, 83, Nobel Winner Who Applied Economics to Everyday Life, Dies	12
Q16749651	null	1
Q16749680	Chomiński catalog	1
Q16750311	The classification of the hornblendes and the solid solution relations in the amphibole group	2
Q16751605	Debretts House of Commons and the Judicial Bench 1881	1
Q16753607	Ministry of Foreign Affairs of the Federal Republic of Nigeria	3
Q1675561	Ivan Kraus	2
Q16760618	null	2
Q16760732	Charlotte Stuart	2
Q16760791	Lord Henry Stuart	2
Q16761510	Mortimer Singer	2
Q167646	Paris	2
Q167654	Frans Hals	1
Q16765837	Nomenclature of amphiboles (1978)	1
Q16766111	Ministry of Foreign Affairs of the Republic of Côte d'Ivoire	3
Q16766438	Clotilde Legrand	1
Q1677193	Jack Rosenthal	1
Q16773595	Elizabeth Smyth	1
Q16773609	null	7
Q16773633	Embassy of the Republic of Guinea in Germany	3
Q16773658	Pokémon Omega Ruby and Alpha Sapphire	1
Q1677480	null	1
Q16777423	null	3
Q16781919	null	1
Q16782015	Embassy of the Republic of Guinea-Bissau in Germany	3
Q16787423	null	2
Q16787431	null	1
Q16787449	Crystal structure of protoanthophyllite: A new mineral from the Takese ultramafic complex, Japan	5
Q16788223	New mineral names	1
Q16798010	Ministry of Foreign Affairs of the Republic of Senegal	3
Q16799152	Ronnie Turner	1
Q1679969	James Aubrey	1
Q1680386	James Fisher	1
Q1680654	James Justinian Morier	1
Q1681344	James von Bleichröder	1
Q168165	NOAAS McArthur	1
Q1681974	Jan Kraus	1
Q168200	USS Serene	1
Q16826655	Ministry of Foreign Affairs and International Cooperation of the Republic of The Gambia	3
Q16829278	SAS Charlotte Maxeke	1
Q16829521	Anne Devereux	1
Q16829525	Walter Devereux	1
Q16829529	William Devereux	1
Q16830613	Pierre de Bourbon	1
Q1683480	William de Ferrers, 3rd Earl of Derby	1
Q1683615	null	1
Q1683647	null	1
Q16842663	Henry Devereux, 14th Viscount Hereford	1
Q16846235	Japanese submarine I-12	1
Q1685029	Jean-Marc Valin	1
Q16853839	Nereis of Epirus	2
Q16853858	Melodifestivalen 2015	2
Q16856039	Ministry of Foreign Affairs and Regional Cooperation of Burkina Faso	3
Q16856690	Norodom Kantol	2
Q1685764	Jean Pisani-Ferry	1
Q16858002	Anne Mee	1
Q16859262	Captain Robert Robinson	1
Q16859358	Henrietta Knight, Lady Luxborough	1
Q16859512	Sir Tancred Robinson, 3rd Baronet	1
Q16859523	Sir John Rushout, 4th Baronet	1
Q16861413	Ginger Thompson	1
Q16862128	Frances Janette Partridge	1
Q16862645	Original Shannara Trilogy	1
Q16863213	Embassy of the Republic of Benin in Germany	3
Q16863346	William Devereux of Frome	1
Q16863349	Stephen Devereux of Bodenham and Burghope	1
Q16863350	William Devereux, Baron Devereux of Lyonshall	1
Q16863380	Walter Devereux	1
Q16863552	Sir Hugh Pollard, 2nd Baronet	1
Q16864466	Patterson Hood	1
Q16867112	null	1
Q16868007	The official Togo portal	3
Q16868109	Henrietta Grace Smyth	2
Q16868114	Temperature-dependent Fe²⁺-Mn²⁺ order-disorder behaviour in amphiboles	1
Q1687097	German submarine U-167 (1942)	1
Q16871348	Diccionario Akal de Historiadores españoles contemporáneos (2002)	141
Q168724	Emma Thompson	1
Q16873485	null	1
Q16874278	Nomenclature of amphiboles: report (1997)	10
Q16874312	Embassy of the Republic of Ghana in Germany	3
Q16875034	Arthur Devereux	1
Q16875037	Vaughan Devereux	1
Q16875044	George Devereux	1
Q16875197	Robert Godfrey de Bohun Devereux	1
Q16875304	Diccionario Akal de Teatro (1997)	8
Q16875439	Los que fueron: Narciso Serra	8
Q168756	University of California, Berkeley	1
Q168776	Ibrahim I	2
Q16878786	El Siglo Futuro	2
Q16878812	Dictionary of the Literature of the Iberian Peninsula, volumen 2	24
Q16879052	Embassy of the Gabonese Republic in Germany	3
Q16879115	Francisco, el tercer Machado	38
Q16879343	Manuel Machado y el catolicismo	8
Q16880173	Joan of Arc: Her Story	1
Q16881090	Penis	1
Q16885369	Sagrada - el misteri de la creació	1
Q16888019	Price Devereux	1
Q16888398	Mary Ann Paton	1
Q16889080	Ministry of Foreign Affairs (Cuba)	3
Q16889119	Nuevos datos sobre la vida del filósofo y político José Álvarez Guerra en el 150 aniversario de su muerte	13
Q16889143	BIBSYS id	9218
Q16889190	Agustín Durán: A Biography and Literary Appreciation	6
Q16889862	Vasiliki Botsaris	1
Q16889915	Hariklia Charalambis	1
Q16889918	Victoria Lontos	3
Q16893277	Asimakis Charalambis	2
Q16894222	Markos D. Botzaris	1
Q16894941	null	1
Q1689826	Jiří Robert Pick	1
Q16900559	Arka Keshari Deo	1
Q16903830	null	1
Q16903841	null	1
Q16904264	null	1
Q16908681	Biografía de Eduardo Saavedra	4
Q16911151	Ministry of Foreign Affairs and Cooperation of the Republic of Rwanda	4
Q169123	Zdeslav of Croatia	1
Q16912398	null	5
Q16913559	Embassy of the Republic of Burundi in Germany	3
Q16915528	Jean Pozzi	1
Q16915730	A new hyper-calcic amphibole with Ca at the A site: Fluor-cannilloite from Pargas, Finland	8
Q16915961	null	5
Q16916325	Genealogía de don Práxedes Mateo-Sagasta y Escolar	36
Q16918739	Edmund Whytehead Howson	1
Q16919108	Embassy of the Republic of Zambia in Germany	3
Q16919154	Kate Brownlee Sherwood	1
Q1692011	Jan III van Montfoort	1
Q16920492	Le Précurseur	6
Q16920524	Le Censeur	17
Q16923880	Official Languages Ordinance	1
Q16929629	null	2
Q1693246	Johann Dietrich von Gemmingen	1
Q16934599	Laila Gopalan	2
Q16934717	Art Song Composers of Spain: An Encyclopedia (2009)	2
Q16935518	Learn Out Loud	1
Q16935579	Embassy of the Republic of Namibia in Germany	3
Q16938123	null	1
Q16938531	Le Journal de Lyon et du Midi	2
Q16938588	Lyon-Sport	1
Q16938913	Rudolph	1
Q1694134	Johann Gottfried Olearius	1
Q16944929	Jiří Kratochvíl	1
Q16946630	Sofia Papandreou	2
Q1694696	null	1
Q169470	physicist	3
Q1694775	null	1
Q169514	Swedish Wikipedia	507247
Q1695289	Morphological Catalogue of Galaxies	1
Q169566	H. P. Lovecraft	1
Q1695738	Johann Otto von Gemmingen	1
Q1696041	Johann Rudolph Becker	1
Q1696046	Johann Rudolph von Ahlefeldt	1
Q16963554	Ministry of Foreign Affairs and Cooperation of the Republic of Mozambique	3
Q1696839	John II of Pernstein	1
Q16976508	Embassy of the Republic of Madagascar in Germany	3
Q16976658	Ehimeite, NaCa2Mg4CrSi6Al2O22(OH)2: The first Cr-dominant amphibole from the Akaishi Mine, Higashi-Akaishi Mountain, Ehime Prefecture, Japan	9
Q16977139	null	1
Q16981205	null	2
Q16992760	George Formby on screen, stage, record and radio	1
Q16995175	Hendrickson Publisher	1
Q17002359	John Dryden	1
Q170109	Berlin State Library	1
Q17013748	Fluoropargasite, a new member of the calcic amphiboles from Edenville, Orange County, New York	11
Q17014836	Mygene	1
Q17016617	Northern Ireland Social and Political Archive	2
Q17024048	null	37
Q17024175	null	3
Q17024515	My Skarsgård	1
Q1702876	Jonah Kūhiō Kalanianaʻole	2
Q1703142	Russian Space Forces	1
Q170348	Paul Wittgenstein	1
Q1703605	Le Siècle	4
Q17037575	Oxford Biography Index	2
Q170424	World Meteorological Organization	1
Q17044013	null	1
Q17045022	null	1
Q17045095	null	1
Q17045302	null	1
Q17045322	null	1
Q1704738	Sonpi Bunmyaku	1
Q17047966	null	1
Q170581	Nancy Pelosi	1
Q1706269	Zhou Haiying	1
Q17067219	null	1
Q17068314	Katja Eichinger	1
Q1707784	Joseph P. Kennedy III	1
Q170790	mathematician	1
Q17082873	Sports Reference	7
Q170846	Erzsébet Báthory	1
Q17084869	Telegraph Herald	1
Q170855	Drupal	1
Q1708798	null	1
Q17088184	Silver Tree	1
Q17095763	null	1
Q17095892	null	2
Q17095981	null	1
Q17096015	null	1
Q17096143	null	1
Q17109002	Library of Congress Linked Data Service	11
Q17113035	null	1
Q17113694	null	1
Q17113842	null	1
Q17114256	null	1
Q17118509	null	1
Q17118529	Jean-Christophe Ammann	2
Q17119558	Birger Dobloug	1
Q17121823	Miltos Kyrkos	1
Q17124714	The Guaporé-Mamoré region as a linguistic area	1
Q171328	Charter of the United Nations	2
Q171331	Khmelnytskyi Oblast	1
Q17134787	Daniel Conner Lathbury	1
Q17138368	null	1
Q17139403	Oldest Known Pantherine Skull and Evolution of the Tiger	1
Q17142409	null	3
Q17142642	Ministry of Foreign Affairs of the Republic of Nicaragua	3
Q17143000	null	1
Q1714356	Tampa Bay Times	3
Q17144287	Ministry of Foreign Affairs and Culture of the Republic of Costa Rica	3
Q17146588	Ministry of Foreign Affairs of the Republic of Panama	3
Q17146691	Harry Gilroy	1
Q17149764	Embassy of the Dominican Republic in Germany	3
Q17152845	Masayoshi Haneda	1
